,ScripCode,TradingSymbol,BuySell,RIC,Series,venue,trade_volume,execution_price,position,trader_id,trade_time,arrival_time,signal_time,Exch Time,TOMReceiptTime,BasketId,currency,broker_id,order_id,arrival_price,trade_price,signal_price,Date-Time,Type,Price,Bid Price,Bid Size,Ask Price,Ask Size,High,Low,Market VWAP,market_high,market_low,market_vwap,market_mid,market_spread,best_ask,best_bid,trades_vwap,trades_twap,slippage,best_price,worst_price,sippage_to_market_vwap,market_impact
0,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 10:13:00.100,2025-02-25 10:13:00,,,,,,,,,,2025-02-25T10:15:00,L,176.8116982,176.8116982,10.0,123.0,10.0,20.0,30.0,176.8116982,,,,,,,,,,,,,,
72,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:01:00.100,2025-02-25 09:01:00,,,,,,,,,,2025-02-25T09:03:00,M,175.8414931,175.8414931,14.0,200.0,14.0,25.0,45.0,175.8414931,,,,,,,,,,,,,,
71,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:02:00.100,2025-02-25 09:02:00,,,,,,,,,,2025-02-25T09:04:00,M,119.7496627,119.7496627,14.0,200.0,14.0,25.0,45.0,119.7496627,,,,,,,,,,,,,,
70,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:03:00.100,2025-02-25 09:03:00,,,,,,,,,,2025-02-25T09:05:00,M,183.8038929,183.8038929,14.0,200.0,14.0,25.0,45.0,183.8038929,,,,,,,,,,,,,,
69,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:04:00.100,2025-02-25 09:04:00,,,,,,,,,,2025-02-25T09:06:00,M,149.3009146,149.3009146,14.0,200.0,14.0,25.0,45.0,149.3009146,,,,,,,,,,,,,,
68,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:05:00.100,2025-02-25 09:05:00,,,,,,,,,,2025-02-25T09:07:00,M,167.1913329,167.1913329,14.0,200.0,14.0,25.0,45.0,167.1913329,,,,,,,,,,,,,,
67,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:06:00.100,2025-02-25 09:06:00,,,,,,,,,,2025-02-25T09:08:00,M,184.9408507,184.9408507,14.0,200.0,14.0,25.0,45.0,184.9408507,,,,,,,,,,,,,,
66,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:07:00.100,2025-02-25 09:07:00,,,,,,,,,,2025-02-25T09:09:00,M,162.5839455,162.5839455,14.0,200.0,14.0,25.0,45.0,162.5839455,,,,,,,,,,,,,,
65,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:08:00.100,2025-02-25 09:08:00,,,,,,,,,,2025-02-25T09:10:00,M,154.8901203,154.8901203,14.0,200.0,14.0,25.0,45.0,154.8901203,,,,,,,,,,,,,,
64,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:09:00.100,2025-02-25 09:09:00,,,,,,,,,,2025-02-25T09:11:00,M,150.9162583,150.9162583,14.0,200.0,14.0,25.0,45.0,150.9162583,,,,,,,,,,,,,,
63,,,, GOOG.OQ,,,,,,,2025-02-25 01:00:00,2025-02-25 09:10:00.100,2025-02-25 09:10:00,,,,,,,,,,2025-02-25T09:12:00,M,172.7958668,172.7958668,14.0,126.0,14.0,25.0,45.0,172.7958668,,,,,,,,,,,,,,
